Time [s],Heating [W],Observed T [K]
3940,3.4689,0.23653
3944,3.4689,0.23653
3948,3.4688,0.23718
3952,3.4688,0.23718
3956,3.4688,0.23718
3960,3.4687,0.2378
3964,3.4687,0.23845
3968,3.4687,0.23908
3972,3.4686,0.23908
3976,3.4686,0.2397
3980,3.4685,0.2397
3984,3.4685,0.2397
3988,3.4686,0.24035
3992,3.4688,0.24097
3996,3.4688,0.24097
4000,3.4687,0.24097
4004,3.4686,0.24162
4008,3.4687,0.24225
4012,3.4687,0.24225
4016,3.4686,0.24289
4020,3.4687,0.24289
4024,3.4688,0.24352
4028,3.4687,0.24352
4032,3.4687,0.24414
4036,3.4688,0.24414
4040,3.4687,0.24479
4044,3.4687,0.24542
4048,3.4686,0.24542
4052,3.4685,0.24479
4056,3.4686,0.24606
4060,3.4687,0.24669
4064,3.4687,0.24669
4068,3.4686,0.24669
4072,3.4686,0.24732
4076,3.4686,0.24732
4080,3.4685,0.24732
4084,3.4684,0.24796
4088,3.4684,0.24859
4092,3.4686,0.24859
4096,3.4686,0.24923
4100,3.4687,0.24923
4104,3.4687,0.24923
4108,3.4686,0.24923
4112,3.4685,0.25049
4116,3.4686,0.25049
4120,3.4685,0.25049
4124,3.4686,0.25113
4128,3.4687,0.25082
4132,3.4687,0.25113
4136,3.4686,0.25176
4140,3.4687,0.2524
4144,3.4686,0.2524
4148,3.4685,0.25303
4152,3.4685,0.25303
4156,3.4685,0.25303
4160,3.4684,0.25366
4164,3.4684,0.25366
4168,3.4684,0.25366
4172,3.4684,0.2543
4176,3.4685,0.25493
4180,3.4684,0.2543
4184,3.4684,0.25493
4188,3.4686,0.25557
4192,3.4686,0.25557
4196,3.4685,0.2562
4200,3.4687,0.2562
4204,3.4686,0.25683
4208,3.4685,0.25683
4212,3.4687,0.25747
4216,3.4687,0.25747
4220,3.4686,0.2581
4224,3.4687,0.2581
4228,3.4687,0.2581
4232,3.4688,0.2581
4236,3.4687,0.25874
4240,3.4687,0.25937
4244,3.4688,0.25937
4248,3.4688,0.25937
4252,3.4687,0.25937
4256,3.4687,0.26064
4260,3.4689,0.26064
4264,3.469,0.26127
4268,3.469,0.26064
4272,3.4689,0.26127
4276,3.4689,0.26127
4280,3.4688,0.26191
4284,3.469,0.26127
4288,3.469,0.26191
4292,3.469,0.26254
4296,3.469,0.26254
4300,3.4691,0.26317
4304,3.4691,0.26254
4308,3.4691,0.26317
4312,3.469,0.26381
4316,3.4689,0.26444
4320,3.4689,0.26444
4324,3.4689,0.26444
4328,3.469,0.26444
4332,3.469,0.26444
